cm151a.txt
Cost: 39
   exitT : 0.3125
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.77
   9.500000000000002 : 0.82
   9.025000000000004 : 0.69
   8.573750000000006 : 0.7
   8.145062500000007 : 0.74
   7.737809375000008 : 0.8
   7.350918906250009 : 0.77
   6.98337296093751 : 0.77
   6.634204312890636 : 0.74
   6.302494097246105 : 0.79
   5.9873693923838 : 0.74
   5.688000922764611 : 0.63
   5.403600876626381 : 0.59
   5.133420832795063 : 0.68
   4.876749791155311 : 0.56
   4.632912301597546 : 0.65
   4.40126668651767 : 0.58
   4.181203352191787 : 0.62
   3.9721431845821984 : 0.48
   3.773536025353089 : 0.53
   3.5848592240854353 : 0.46
   3.405616262881164 : 0.57
   3.2353354497371067 : 0.54
   3.073568677250252 : 0.59
   2.9198902433877403 : 0.45
   2.773895731218354 : 0.3
   2.6352009446574365 : 0.4
   2.503440897424565 : 0.41
   2.3782688525533375 : 0.41
   2.259355409925671 : 0.43
   2.146387639429388 : 0.44
   2.039068257457919 : 0.45
   1.9371148445850233 : 0.38
   1.8402591023557724 : 0.32
   1.748246147237984 : 0.34
   1.6608338398760851 : 0.26
   1.5777921478822812 : 0.37
   1.4989025404881673 : 0.24
   1.4239574134637591 : 0.24
   1.3527595427905714 : 0.25
   1.285121565651043 : 0.27
   1.2208654873684912 : 0.24
   1.1598222130000668 : 0.26
   1.1018311023500638 : 0.3
   1.0467395472325607 : 0.18
   0.9944025698709328 : 0.15
   0.9446824413773863 : 0.19
   0.8974483193085172 : 0.11
   0.8525759033430915 : 0.11
   0.8099471081759371 : 0.11
   0.7694497527671403 : 0.06
   0.7309772651287835 : 0.11
   0.6944284018723444 : 0.08
   0.6597069817787273 : 0.06
   0.6267216326897911 : 0.06
   0.5953855510553017 : 0.07
   0.5656162735025367 : 0.05
   0.53733545982741 : 0.07
   0.5104686868360396 : 0.07
   0.48494525249423776 : 0.03
   0.460697989869526 : 0.01
   0.4376630903760498 : 0.09
   0.4157799358572474 : 0.05
   0.3949909390643851 : 0.02
   0.3752413921111659 : 0.05
   0.3564793225056077 : 0.03
   0.3386553563803274 : 0.02
   0.3217225885613111 : 0.01

Cost: 42
   exitT : 0.3125
   beta : 0.9000000000000001
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.81
   9.000000000000002 : 0.86
   8.100000000000003 : 0.8
   7.290000000000004 : 0.77
   6.561000000000004 : 0.69
   5.904900000000005 : 0.73
   5.314410000000005 : 0.75
   4.782969000000005 : 0.58
   4.304672100000005 : 0.68
   3.874204890000005 : 0.57
   3.486784401000005 : 0.56
   3.138105960900005 : 0.42
   2.8242953648100046 : 0.39
   2.5418658283290045 : 0.41
   2.2876792454961046 : 0.36
   2.0589113209464944 : 0.3
   1.8530201888518452 : 0.35
   1.667718169966661 : 0.34
   1.5009463529699951 : 0.37
   1.3508517176729957 : 0.17
   1.2157665459056963 : 0.13
   1.094189891315127 : 0.16
   0.9847709021836144 : 0.14
   0.8862938119652531 : 0.11
   0.797664430768728 : 0.17
   0.7178979876918553 : 0.1
   0.6461081889226699 : 0.07
   0.5814973700304029 : 0.02
   0.5233476330273626 : 0.03
   0.47101286972462647 : 0.04
   0.4239115827521639 : 0.06
   0.38152042447694756 : 0.04
   0.34336838202925285 : 0.02

Cost: 43
   exitT : 0.3125
   beta : 0.8500000000000001
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.68
   8.5 : 0.66
   7.2250000000000005 : 0.66
   6.141250000000001 : 0.74
   5.220062500000002 : 0.7
   4.437053125000002 : 0.65
   3.771495156250002 : 0.52
   3.205770882812502 : 0.47
   2.724905250390627 : 0.49
   2.316169462832033 : 0.35
   1.9687440434072283 : 0.38
   1.6734324368961442 : 0.42
   1.4224175713617226 : 0.31
   1.2090549356574645 : 0.19
   1.0276966953088449 : 0.14
   0.8735421910125183 : 0.16
   0.7425108623606406 : 0.11
   0.6311342330065446 : 0.04
   0.5364640980555629 : 0.05
   0.45599448334722853 : 0.07
   0.3875953108451443 : 0.03
   0.32945601421837273 : 0.05

Cost: 44
   exitT : 0.9375
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.85
   9.500000000000002 : 0.81
   9.025000000000004 : 0.77
   8.573750000000006 : 0.84
   8.145062500000007 : 0.78
   7.737809375000008 : 0.66
   7.350918906250009 : 0.69
   6.98337296093751 : 0.71
   6.634204312890636 : 0.61
   6.302494097246105 : 0.72
   5.9873693923838 : 0.68
   5.688000922764611 : 0.67
   5.403600876626381 : 0.68
   5.133420832795063 : 0.58
   4.876749791155311 : 0.58
   4.632912301597546 : 0.72
   4.40126668651767 : 0.53
   4.181203352191787 : 0.53
   3.9721431845821984 : 0.52
   3.773536025353089 : 0.55
   3.5848592240854353 : 0.52
   3.405616262881164 : 0.51
   3.2353354497371067 : 0.38
   3.073568677250252 : 0.48
   2.9198902433877403 : 0.47
   2.773895731218354 : 0.36
   2.6352009446574365 : 0.4
   2.503440897424565 : 0.37
   2.3782688525533375 : 0.57
   2.259355409925671 : 0.44
   2.146387639429388 : 0.35
   2.039068257457919 : 0.4
   1.9371148445850233 : 0.41
   1.8402591023557724 : 0.38
   1.748246147237984 : 0.27
   1.6608338398760851 : 0.29
   1.5777921478822812 : 0.18
   1.4989025404881673 : 0.27
   1.4239574134637591 : 0.32
   1.3527595427905714 : 0.26
   1.285121565651043 : 0.27
   1.2208654873684912 : 0.22
   1.1598222130000668 : 0.18
   1.1018311023500638 : 0.27
   1.0467395472325607 : 0.08
   0.9944025698709328 : 0.17
   0.9446824413773863 : 0.11

Cost: 45
   exitT : 0.625
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.85
   9.500000000000002 : 0.81
   9.025000000000004 : 0.85
   8.573750000000006 : 0.85
   8.145062500000007 : 0.81
   7.737809375000008 : 0.7
   7.350918906250009 : 0.72
   6.98337296093751 : 0.74
   6.634204312890636 : 0.69
   6.302494097246105 : 0.72
   5.9873693923838 : 0.69
   5.688000922764611 : 0.61
   5.403600876626381 : 0.73
