cm138a.txt
Cost: 36
   exitT : 0.3125
   beta : 0.8500000000000001
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.86
   8.5 : 0.86
   7.2250000000000005 : 0.82
   6.141250000000001 : 0.71
   5.220062500000002 : 0.73
   4.437053125000002 : 0.74
   3.771495156250002 : 0.76
   3.205770882812502 : 0.59
   2.724905250390627 : 0.59
   2.316169462832033 : 0.56
   1.9687440434072283 : 0.52
   1.6734324368961442 : 0.41
   1.4224175713617226 : 0.27
   1.2090549356574645 : 0.2
   1.0276966953088449 : 0.1
   0.8735421910125183 : 0.15
   0.7425108623606406 : 0.24
   0.6311342330065446 : 0.07
   0.5364640980555629 : 0.12
   0.45599448334722853 : 0.1
   0.3875953108451443 : 0.09
   0.32945601421837273 : 0.06

Cost: 37
   exitT : 0.3125
   beta : 0.8
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.82
   8.0 : 0.88
   6.4 : 0.79
   5.120000000000001 : 0.78
   4.096000000000001 : 0.76
   3.276800000000001 : 0.63
   2.621440000000001 : 0.58
   2.097152000000001 : 0.51
   1.6777216000000008 : 0.48
   1.3421772800000007 : 0.37
   1.0737418240000005 : 0.18
   0.8589934592000005 : 0.16
   0.6871947673600004 : 0.1
   0.5497558138880003 : 0.15
   0.4398046511104003 : 0.1
   0.3518437208883203 : 0.12

Cost: 38
   exitT : 0.3125
   beta : 0.9000000000000001
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.84
   9.000000000000002 : 0.88
   8.100000000000003 : 0.88
   7.290000000000004 : 0.82
   6.561000000000004 : 0.79
   5.904900000000005 : 0.78
   5.314410000000005 : 0.68
   4.782969000000005 : 0.73
   4.304672100000005 : 0.67
   3.874204890000005 : 0.62
   3.486784401000005 : 0.62
   3.138105960900005 : 0.65
   2.8242953648100046 : 0.49
   2.5418658283290045 : 0.57
   2.2876792454961046 : 0.36
   2.0589113209464944 : 0.54
   1.8530201888518452 : 0.33
   1.667718169966661 : 0.4
   1.5009463529699951 : 0.35
   1.3508517176729957 : 0.24
   1.2157665459056963 : 0.3
   1.094189891315127 : 0.27
   0.9847709021836144 : 0.23
   0.8862938119652531 : 0.23
   0.797664430768728 : 0.14
   0.7178979876918553 : 0.12
   0.6461081889226699 : 0.1
   0.5814973700304029 : 0.16
   0.5233476330273626 : 0.12
   0.47101286972462647 : 0.1
   0.4239115827521639 : 0.05
   0.38152042447694756 : 0.06
   0.34336838202925285 : 0.14

Cost: 39
   exitT : 0.625
   beta : 0.8
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.86
   8.0 : 0.84
   6.4 : 0.84
   5.120000000000001 : 0.75
   4.096000000000001 : 0.68
   3.276800000000001 : 0.63
   2.621440000000001 : 0.48
   2.097152000000001 : 0.5
   1.6777216000000008 : 0.41
   1.3421772800000007 : 0.34
   1.0737418240000005 : 0.17
   0.8589934592000005 : 0.13
   0.6871947673600004 : 0.07

Cost: 40
   exitT : 3.125
   beta : 0.8500000000000001
   runWith0 : True
   startT : 100.0
   n : 100
   100.0 : 1.0
   85.00000000000001 : 0.99
   72.25000000000001 : 0.99
   61.412500000000016 : 0.99
   52.20062500000002 : 0.96
   44.37053125000002 : 0.95
   37.71495156250002 : 0.98
   32.05770882812502 : 0.97
   27.249052503906274 : 0.97
   23.161694628320337 : 0.91
   19.68744043407229 : 0.96
   16.73432436896145 : 0.95
   14.224175713617234 : 0.92
   12.09054935657465 : 0.87
   10.276966953088454 : 0.9
   8.735421910125186 : 0.84
   7.425108623606409 : 0.88
   6.3113423300654485 : 0.74
   5.364640980555632 : 0.83
   4.559944833472287 : 0.7
   3.8759531084514447 : 0.61
   3.2945601421837285 : 0.71

